"start","connection","end","state","score"
".NET","developed_by","Microsoft","active","200"
".NET","is_a","Software Framework","active","240"
"15 cm Nebelwerfer 41","has_type","Rocket artillery","active","225"
"15 cm Nebelwerfer 41","operated_by","Germany","active","180"
"15 cm Nebelwerfer 41","operated_by","Hungary","active","180"
"15 cm Nebelwerfer 41","originated_in","Germany","active","185"
"15 cm Nebelwerfer 41","used_in","World War II","active","165"
"17pdr SP Achilles","has_type","Self-propelled anti-tank gun","active","225"
"17pdr SP Achilles","made_by","Royal Arsenal","active","185"
"21 cm Nebelwerfer 42","has_type","Rocket artillery","active","225"
"21 cm Nebelwerfer 42","made_by","Donauwörth Machine Factory","active","185"
"21 cm Nebelwerfer 42","operated_by","Nazi Germany, France","deprecated","35"
"21 cm Nebelwerfer 42","originated_in","Nazi Germany","active","185"
"21 cm Nebelwerfer 42","used_in","World War II","active","165"
"23andMe","founded_by","Anne Wojcicki","active","190"
"23andMe","founded_by","Linda Avey","active","190"
"23andMe","has_key_person","CEO","rejected","0"
"23andMe","headquartered_in","South San Francisco, California","active","185"
"23andMe","in_industry","Biotechnology","active","165"
"23andMe","in_industry","Genetic genealogy","active","165"
"23andMe","makes","Direct-to-consumer","active","160"
"23andMe","makes","Mobile application","active","160"
"23andMe","makes","personal genome","active","160"
"23andMe","provides","Genealogical DNA testing","active","155"
"23andMe","provides","Genetic testing","active","155"
"23andMe","provides","Medical research","active","155"
"2K12 Kub","designed_by","GM chassis","active","195"
"2K12 Kub","designed_by","MMZ","active","195"
"2K12 Kub","designed_by","NIIP","active","195"
"2K12 Kub","designed_by","Vympel","active","195"
"2K12 Kub","has_type","Surface-to-air missile","active","225"
"2K12 Kub","has_type","surface-to-air missile","active","225"
"2K12 Kub","has_type","Tracked","active","225"
"2K12 Kub","has_variant","2K12 Kub, 2K12E Kvadrat (export version), 2K12M3, 2K12M4","deprecated","35"
"2K12 Kub","has_variant","3M9, 3M9M1, 3M9M3, 3M9M4","deprecated","35"
"2K12 Kub","made_by","Ulyanovsk Mechanical Plant","active","185"
"2K12 Kub","made_by","ZiK","active","185"
"2K12 Kub","operated_by","See list of operators","deprecated","15"
"2K12 Kub","originated_in","Russia","active","185"
"2K12 Kub","originated_in","Soviet Union","active","185"
"2K12 Kub","used_in","1982 Lebanon War","active","165"
"2K12 Kub","used_in","2020 Nagorno-Karabakh war","active","165"
"2K12 Kub","used_in","Angolan Civil War","active","165"
"2K12 Kub","used_in","Chadian Civil War","active","165"
"2K12 Kub","used_in","Gulf War","active","165"
"2K12 Kub","used_in","Iran–Iraq War","active","165"
"2K12 Kub","used_in","Kosovo War","active","165"
"2K12 Kub","used_in","Russian invasion of Ukraine","active","165"
"2K12 Kub","used_in","Russo-Ukrainian War","active","165"
"2K12 Kub","used_in","Syrian Civil War","active","165"
"2K12 Kub","used_in","Western Sahara War","active","165"
"2K12 Kub","used_in","Yemeni Civil War (2014–present)","active","165"
"2K12 Kub","used_in","Yom Kippur War","active","165"
"2K12 Kub","used_in","Yugoslav wars","active","165"
"3D Robotics","founded_by","Chris Anderson","active","190"
"3D Robotics","headquartered_in","Berkeley, California","active","185"
"3D Robotics","in_industry","Drone software","active","165"
"3D Robotics","makes","Drone software, drone data analytics","deprecated","35"
"3D Robotics","owns_brand","Site Scan","active","165"
"3M","has_key_person","Michael F. Roman","active","150"
"3M","has_key_person","William M. Brown","active","150"
"3M","headquartered_in","Maplewood","active","185"
"3M","headquartered_in","Minnesota","active","185"
"3M","headquartered_in","U.S.","active","185"
"3M","in_industry","Conglomerate","active","165"
"9K121 Vikhr","has_type","Air-launched Anti-Air/Tank Missile","active","225"
"9K121 Vikhr","made_by","KBP Instrument Design Bureau","active","185"
"9M123 Khrizantema","designed_by","KBM","active","195"
"9M123 Khrizantema","designed_by","Kolomna","active","195"
"9M123 Khrizantema","has_type","Anti-tank guided missile","active","225"
"9M123 Khrizantema","has_variant","9M123, 9M123-2, 9M123F, 9M123F-2","deprecated","35"
"9M123 Khrizantema","made_by","KBMN","active","185"
"9M133 Kornet","designed_by","KBP Instrument Design Bureau","active","195"
"9M133 Kornet","has_type","Anti-tank missile","active","225"
"9M133 Kornet","has_variant","See Variants","deprecated","15"
"9M133 Kornet","made_by","Degtyarev plant","active","185"
"A-Darter","guided_by","Infrared homing","active","180"
"A-Darter","has_type","Short range air-to-air missile","active","225"
"A-Darter","launched_from","Combat aircraft","active","175"
"A-Darter","made_by","Denel Dynamics","active","185"
"A-Darter","made_by","SIATT","active","185"
"A-Darter","originated_in","South Africa & Brazil","active","185"
"A-Mark Precious Metals","owns","Collateral Finance Corporation (CFC) Goldline International JM Bullion","active","180"
"A400M Atlas","is_a","Military Transport Aircraft","active","240"
"A400M Atlas","manufactured_by","Airbus Defence and Space","active","185"
"AAI Corporation","in_industry","Aerospace industry","active","165"
"AAI Corporation","in_industry","Defence industry","active","165"
"AAI Corporation","makes","Aircraft, unmanned aerial vehicles","deprecated","35"
"AAI Corporation","owned_by","Textron","active","180"
"AAI RQ-2 Pioneer","developed_into","AAI RQ-7 Shadow","active","170"
"AAI RQ-2 Pioneer","has_type","Reconnaissance UAV","active","225"
"AAI RQ-2 Pioneer","made_by","AAI Corporation","active","185"
"AAI RQ-2 Pioneer","made_by","Israel Aircraft Industries","active","185"
"AAI RQ-2 Pioneer","originated_in","Israel/United States","active","185"
"AAI RQ-7 Shadow","derived_from","AAI RQ-2 Pioneer","active","185"
"AAI RQ-7 Shadow","made_by","AAI Corporation","active","185"
"AAI RQ-7 Shadow","operated_by","United States Army","active","180"
"AAM-1 (Japanese missile)","guided_by","infrared homing","active","180"
"AAM-1 (Japanese missile)","has_type","Short-range, infrared homing air-to-air missile","active","225"
"AAM-1 (Japanese missile)","launched_from","F-104J Starfighter","active","175"
"AAM-1 (Japanese missile)","launched_from","Mitsubishi F-1","active","175"
"AAM-1 (Japanese missile)","launched_from","North American F-86F","active","175"
"AAM-1 (Japanese missile)","made_by","Mitsubishi Heavy Industries","active","185"
"AAM-1 (Japanese missile)","operated_by","Japan","active","180"
"AAM-1 (Japanese missile)","originated_in","Japan","active","185"
"AAM-2","guided_by","infrared homing","active","180"
"AAM-2","has_type","Short-range, infrared homing air-to-air missile","active","225"
"AAM-2","launched_from","F-4EJ Phantom II","active","175"
"AAM-2","made_by","Mitsubishi Heavy Industries","active","185"
"AAM-2","operated_by","Japan","active","180"
"AAM-2","originated_in","Japan","active","185"
"AAM-3","has_type","Short-range air-to-air missile","active","225"
"AAM-3","launched_from","F-4EJKai","active","175"
"AAM-3","launched_from","Mitsubishi F-2","active","175"
"AAM-3","made_by","Mitsubishi Heavy Industries","active","185"
"AAM-3","operated_by","Japanese Air Self-Defence Force","active","180"
"AAM-3","originated_in","Japan","active","185"
"AAM-4","guided_by","active radar homing","active","180"
"AAM-4","guided_by","datalink","active","180"
"AAM-4","guided_by","Inertial guidance","active","180"
"AAM-4","guided_by","SARH","active","180"
"AAM-4","has_type","air-to-air missile","active","225"
"AAM-4","has_type","Beyond-visual-range","active","225"
"AAM-4","has_variant","JNAAM","active","140"
"AAM-4","has_warhead","blast-fragmentation","active","170"
"AAM-4","has_warhead","High explosive","active","170"
"AAM-4","launched_from","F-15J","active","175"
"AAM-4","launched_from","F-2","active","175"
"AAM-4","made_by","Mitsubishi Heavy Industries","active","185"
"AAM-4","operated_by","See Operators","deprecated","15"
"AAM-4","originated_in","Japan","active","185"
"AAM-5 (Japanese missile)","guided_by","Infrared homing","active","180"
"AAM-5 (Japanese missile)","has_type","Short-range air-to-air missile","active","225"
"AAM-5 (Japanese missile)","has_warhead","blast-frag","active","170"
"AAM-5 (Japanese missile)","made_by","Mitsubishi Heavy Industries","active","185"
"AAM-5 (Japanese missile)","operated_by","Japan Air Self-Defense Force","active","180"
"AAM-5 (Japanese missile)","originated_in","Japan","active","185"
"AB InBev","makes","Alcoholic beverages: beer and soft drinks","active","160"
"AB InBev","owns","AmBev","active","180"
"AB InBev","owns","Anheuser-Busch","active","180"
"AB InBev","owns","Grupo Modelo","active","180"
"AB InBev","owns","InBev","active","180"
"AB InBev","owns","Interbrew","active","180"
"Abidjan","is_a","City","active","240"
"Abidjan","located_in","Abidjan Autonomous District, Ivory Coast","active","190"
"Abidjan","part_of","Ivory Coast","active","210"
"Abidjan Autonomous District, Ivory Coast","is_a","Region","active","240"
"Abidjan Autonomous District, Ivory Coast","part_of","Ivory Coast","active","210"
"Abu Dhabi","capital_of","United Arab Emirates","active","235"
"Abu Dhabi","is_a","City","active","240"
"Abu Dhabi","located_in","Abu Dhabi, United Arab Emirates","active","190"
"Abu Dhabi","part_of","United Arab Emirates","active","210"
"Abu Dhabi National Oil Company","makes","Natural gas","active","160"
"Abu Dhabi National Oil Company","makes","Petrochemicals","active","160"
"Abu Dhabi National Oil Company","makes","Petroleum","active","160"
"Abu Dhabi, United Arab Emirates","is_a","Region","active","240"
"Abu Dhabi, United Arab Emirates","part_of","United Arab Emirates","active","210"
"Abuja","capital_of","Nigeria","active","235"
"Abuja","is_a","City","active","240"
"Abuja","located_in","FCT, Nigeria","active","190"
"Abuja","part_of","Nigeria","active","210"
"Accenture","has_key_person","CEO","rejected","0"
"Accenture","has_key_person","chair","active","150"
"Accenture","has_key_person","Julie Sweet","active","150"
"Accenture","headquartered_in","Dublin","active","185"
"Accenture","in_industry","Information technology consulting","active","165"
"Accenture","in_industry","Professional services","active","165"
"Accenture","owns","Avanade","active","180"
"Accenture","owns","Droga5","active","180"
"Accenture","owns","TalentSprint","active","180"
"Accenture","owns","Udacity","active","180"
"Accra","capital_of","Ghana","active","235"
"Accra","is_a","City","active","240"
"Accra","located_in","Greater Accra, Ghana","active","190"
"Accra","part_of","Ghana","active","210"
"Aconcagua","is_a","Mountain","active","240"
"Aconcagua","located_in","Argentina","active","190"
"Aconcagua","part_of","Andes","active","210"
"Acorn Computers","founded_by","Chris Curry","active","190"
"Acorn Computers","founded_by","Hermann Hauser","active","190"
"Acorn Computers","has_key_person","Andy Hopper","active","150"
"Acorn Computers","has_key_person","Chris Curry","active","150"
"Acorn Computers","has_key_person","Hermann Hauser","active","150"
"Acorn Computers","has_key_person","Sophie Wilson","active","150"
"Acorn Computers","has_key_person","Steve Furber","active","150"
"Acorn Computers","headquartered_in","Cambridge","active","185"
"Acorn Computers","in_industry","Computer hardware","active","165"
"Acorn Computers","makes","Acorn Electron","active","160"
"Acorn Computers","makes","Acorn Network Computer","active","160"
"Acorn Computers","makes","Acorn System 1","active","160"
"Acorn Computers","makes","Archimedes range","active","160"
"Acorn Computers","makes","Atom","active","160"
"Acorn Computers","makes","BBC Micro","active","160"
"Acorn Computers","makes","Electron","active","160"
"Acorn Computers","makes","Master series","active","160"
"Acorn Computers","makes","Microcomputer System","active","160"
"Acorn Computers","makes","Phoebe","active","160"
"Acorn Computers","makes","Risc PC range","active","160"
"Active Protection System","is_a","Defence Technology","active","240"
"Active Protection System","protects","Armoured Vehicle","active","145"
"Adacel","headquartered_in","Australia","active","185"
"Adacel","headquartered_in","Melbourne","active","185"
"Adam's Peak","is_a","Mountain","active","240"
"Adam's Peak","located_in","Sri Lanka","active","190"
"Adam's Peak","part_of","Central Highlands","active","210"
"Adamstown","capital_of","Pitcairn","active","235"
"Adamstown","is_a","City","active","240"
"Adana","is_a","City","active","240"
"Adana","located_in","Adana, Turkey","active","190"
"Adana","part_of","Turkey","active","210"
"Adana, Turkey","is_a","Region","active","240"
"Adana, Turkey","part_of","Turkey","active","210"
"Addis Ababa","capital_of","Ethiopia","active","235"
"Addis Ababa","is_a","City","active","240"
"Addis Ababa","located_in","Addis Ababa, Ethiopia","active","190"
"Addis Ababa","part_of","Ethiopia","active","210"
"Addis Ababa, Ethiopia","is_a","Region","active","240"
"Addis Ababa, Ethiopia","part_of","Ethiopia","active","210"
"Adobe","is_a","Company","active","240"
"Advanced Mobile Phone Service","makes","AMPS","active","160"
"Advanced Packaging","is_a","Market Segment","active","240"
"AECOM","provides","Architectural engineering","active","155"
"AECOM","provides","Building design","active","155"
"AECOM","provides","Construction management","active","155"
"Aegis Combat System","is_a","Naval Combat System","active","240"
"Aegis Combat System","manufactured_by","Lockheed Martin","active","185"
"Aegis Combat System","uses_technology","Integrated Air and Missile Defence","active","150"
"Aerial Refuelling","is_a","Strategic Capability","active","240"
"Aero Engine Corporation of China","has_key_person","Cao Jianguo","active","150"
"Aero Engine Corporation of China","has_key_person","Chairman","rejected","0"
"Aero Engine Corporation of China","headquartered_in","Beijing","active","185"
"Aero Engine Corporation of China","headquartered_in","Haidian District","active","185"
"Aero Engine Corporation of China","in_industry","Aerospace engineering","active","165"
"Aero Engine Corporation of China","makes","Aircraft engines","active","160"
"Aero Engine Corporation of China","owns","Shenyang Aeroengine Research Institute","active","180"
"Aero Engine Corporation of China","owns","Xi'an Aero-Engine Corporation","active","180"
"Aero L-39 Albatros","derived_from","Aero L-29 Delfín","active","185"
"Aero L-39 Albatros","designed_by","Jan Vlček","active","195"
"Aero L-39 Albatros","developed_into","Aero L-159 Alca","active","170"
"Aero L-39 Albatros","developed_into","Aero L-39 Skyfox","active","170"
"Aero L-39 Albatros","developed_into","Aero L-59 Super Albatros","active","170"
"Aero L-39 Albatros","has_type","ground-attack aircraft","active","225"
"Aero L-39 Albatros","has_type","trainer aircraft","active","225"
"Aero L-39 Albatros","made_by","Aero Vodochody","active","185"
"Aero L-39 Albatros","operated_by","Czechoslovak Air Force","active","180"
"Aero L-39 Albatros","operated_by","Libyan Air Force","active","180"
"Aero L-39 Albatros","operated_by","Soviet Air Force","active","180"
"Aero L-39 Albatros","operated_by","Syrian Air Force","active","180"
"Aero L-39 Albatros","operated_by","Ukrainian Air Force","active","180"
"Aero L-39 Albatros","originated_in","Czechoslovakia","active","185"
"Aerofilms","founded_by","Claude Graham White","active","190"
"Aerofilms","has_division","Allied Photographic Interpretation Unit","active","160"
"Aerofilms","in_industry","Aerial photography","active","165"
"Aerofilms","owned_by","Aircraft Operating Company","active","180"
"Aerofilms","owns","Hunting Group of Companies","active","180"
"Aeroflot","owns","Pobeda","active","180"
"Aeroflot","owns","Rossiya Airlines","active","180"
"Aerojet","headquartered_in","Rancho Cordova, California","active","185"
"Aerojet","makes","Rocket and missile propulsion","active","160"
"Aerojet","owned_by","GenCorp, Inc.","active","180"
"Aeronautics Defense Orbiter","has_type","Reconnaissance","active","225"
"Aeronautics Defense Orbiter","has_type","UAV","active","225"
"Aeronautics Defense Orbiter","made_by","Aeronautics Defense Systems","active","185"
"Aeronautics Defense Orbiter","originated_in","Israel","active","185"
"Aerospace","is_a","Market Segment","active","240"
"AeroVironment RQ-11 Raven","derived_from","FQM-151 Pointer","active","185"
"AeroVironment RQ-11 Raven","has_type","Miniature UAV","active","225"
"AeroVironment RQ-11 Raven","made_by","AeroVironment","active","185"
"AeroVironment RQ-11 Raven","operated_by","United States Air Force","active","180"
"AeroVironment RQ-11 Raven","operated_by","United States Army","active","180"
"AESA Radar","enables","Electronic Beam Steering","active","145"
"AESA Radar","is_a","Defence Technology","active","240"
"Afghanistan","borders","China","active","210"
"Afghanistan","borders","Iran","active","210"
"Afghanistan","borders","Pakistan","active","210"
"Afghanistan","borders","Tajikistan","active","210"
"Afghanistan","borders","Turkmenistan","active","210"
"Afghanistan","borders","Uzbekistan","active","210"
"Afghanistan","has_capital","Kabul","active","235"
"Afghanistan","has_language","fa-AF","active","160"
"Afghanistan","has_language","ps","active","160"
"Afghanistan","has_language","uz-AF","active","160"
"Afghanistan","has_major_city","Kabul","active","155"
"Afghanistan","is_a","Country","active","240"
"Afghanistan","part_of","Asia","active","210"
"Africa","has_country","Algeria","active","200"
"Africa","has_country","Angola","active","200"
"Africa","has_country","Benin","active","200"
"Africa","has_country","Botswana","active","200"
"Africa","has_country","Burkina Faso","active","200"
"Africa","has_country","Burundi","active","200"
"Africa","has_country","Cabo Verde","active","200"
"Africa","has_country","Cameroon","active","200"
"Africa","has_country","Central African Republic","active","200"
"Africa","has_country","Chad","active","200"
"Africa","has_country","Comoros","active","200"
"Africa","has_country","Democratic Republic of the Congo","active","200"
"Africa","has_country","Djibouti","active","200"
"Africa","has_country","Egypt","active","200"
"Africa","has_country","Equatorial Guinea","active","200"
"Africa","has_country","Eritrea","active","200"
"Africa","has_country","Eswatini","active","200"
"Africa","has_country","Ethiopia","active","200"
"Africa","has_country","Gabon","active","200"
"Africa","has_country","Gambia","active","200"
"Africa","has_country","Ghana","active","200"
"Africa","has_country","Guinea","active","200"
"Africa","has_country","Guinea-Bissau","active","200"
"Africa","has_country","Ivory Coast","active","200"
"Africa","has_country","Kenya","active","200"
"Africa","has_country","Lesotho","active","200"
"Africa","has_country","Liberia","active","200"
"Africa","has_country","Libya","active","200"
"Africa","has_country","Madagascar","active","200"
"Africa","has_country","Malawi","active","200"
"Africa","has_country","Mali","active","200"
"Africa","has_country","Mauritania","active","200"
"Africa","has_country","Mauritius","active","200"
"Africa","has_country","Mayotte","active","200"
"Africa","has_country","Morocco","active","200"
"Africa","has_country","Mozambique","active","200"
"Africa","has_country","Namibia","active","200"
"Africa","has_country","Niger","active","200"
"Africa","has_country","Nigeria","active","200"
"Africa","has_country","Republic of the Congo","active","200"
"Africa","has_country","Reunion","active","200"
"Africa","has_country","Rwanda","active","200"
"Africa","has_country","Saint Helena","active","200"
"Africa","has_country","Sao Tome and Principe","active","200"
"Africa","has_country","Senegal","active","200"
"Africa","has_country","Seychelles","active","200"
"Africa","has_country","Sierra Leone","active","200"
"Africa","has_country","Somalia","active","200"
"Africa","has_country","South Africa","active","200"
"Africa","has_country","South Sudan","active","200"
"Africa","has_country","Sudan","active","200"
"Africa","has_country","Tanzania","active","200"
"Africa","has_country","Togo","active","200"
"Africa","has_country","Tunisia","active","200"
"Africa","has_country","Uganda","active","200"
"Africa","has_country","Western Sahara","active","200"
"Africa","has_country","Zambia","active","200"
"Africa","has_country","Zimbabwe","active","200"
"Africa","is_a","Continent","active","240"
"Africa","part_of","Earth","active","210"
"Agilent Technologies","makes","Instruments, software, services and consumables for laboratory use","deprecated","35"
"AGM-114 Hellfire","guided_by","Millimeter-wave radar seeker","active","180"
"AGM-114 Hellfire","guided_by","Semi-active laser homing","active","180"
"AGM-114 Hellfire","has_type","Air-to-surface","active","225"
"AGM-114 Hellfire","has_type","surface-to-surface missile","active","225"
"AGM-114 Hellfire","has_warhead","Blast fragmentation","active","170"
"AGM-114 Hellfire","has_warhead","High-explosive anti-tank","active","170"
"AGM-114 Hellfire","has_warhead","Metal augmented charge","active","170"
"AGM-114 Hellfire","has_warhead","Shaped charge","active","170"
"AGM-114 Hellfire","has_warhead","Tandem-charge","active","170"
"AGM-114 Hellfire","launched_from","fixed-wing aircraft","active","175"
"AGM-114 Hellfire","launched_from","Rotary","active","175"
"AGM-114 Hellfire","launched_from","unmanned combat aerial vehicles","active","175"
"AGM-114 Hellfire","made_by","Boeing","active","185"
"AGM-114 Hellfire","made_by","Lockheed Martin","active","185"
"AGM-114 Hellfire","made_by","Northrop Grumman","active","185"
"AGM-114 Hellfire","originated_in","United States","active","185"
"AGM-114 Hellfire","used_in","Gulf War","active","165"
"AGM-114 Hellfire","used_in","Russian Invasion of Ukraine","active","165"
"AGM-114 Hellfire","used_in","War on Terror","active","165"
"AGM-12 Bullpup","guided_by","Line-of-sight radio command","active","180"
"AGM-12 Bullpup","has_type","Air-to-ground","active","225"
"AGM-12 Bullpup","has_variant","ASM-N-7, ASM-N-7A/AGM-12B, AGM-12C, GAM-83B/AGM-12D, AGM-12E","deprecated","35"
"AGM-12 Bullpup","has_warhead","W45","active","170"
"AGM-12 Bullpup","launched_from","A-4D","active","175"
"AGM-12 Bullpup","launched_from","Draken","active","175"
"AGM-12 Bullpup","launched_from","F-100","active","175"
"AGM-12 Bullpup","launched_from","F-105","active","175"
"AGM-12 Bullpup","launched_from","F-4","active","175"
"AGM-12 Bullpup","launched_from","F-8","active","175"
"AGM-12 Bullpup","launched_from","FJ-4B","active","175"
"AGM-12 Bullpup","made_by","Martin Marietta","active","185"
"AGM-12 Bullpup","originated_in","United States","active","185"
"AGM-12 Bullpup","used_in","Vietnam War","active","165"
"AGM-122 Sidearm","guided_by","Narrow-band passive radar seeker","active","180"
"AGM-122 Sidearm","has_type","Air-to-surface","active","225"
"AGM-122 Sidearm","has_type","Anti-radar missile","active","225"
"AGM-122 Sidearm","has_warhead","blast-fragmentation","active","170"
"AGM-122 Sidearm","launched_from","AH-1 SuperCobra","active","175"
"AGM-122 Sidearm","launched_from","AH-64 Apache","active","175"
"AGM-122 Sidearm","launched_from","AV-8B Harrier","active","175"
"AGM-122 Sidearm","made_by","Motorola","active","185"
"AGM-122 Sidearm","originated_in","United States","active","185"
"AGM-123 Skipper II","guided_by","laser-guidance","active","180"
"AGM-123 Skipper II","has_type","laser-guided bomb","active","225"
"AGM-123 Skipper II","has_warhead","Mk 83 bomb","active","170"
"AGM-123 Skipper II","made_by","Emerson Electric","active","185"
"AGM-123 Skipper II","operated_by","United States Marine Corps","active","180"
"AGM-123 Skipper II","operated_by","United States Navy","active","180"
"AGM-123 Skipper II","originated_in","United States","active","185"
"AGM-129 ACM","guided_by","Inertial guidance system","active","180"
"AGM-129 ACM","guided_by","Lidar","active","180"
"AGM-129 ACM","guided_by","Terrain Contour Matching (TERCOM)","active","180"
"AGM-129 ACM","has_type","Air-launched cruise missile","active","225"
"AGM-129 ACM","has_warhead","nuclear warhead","active","170"
"AGM-129 ACM","has_warhead","W80","active","170"
"AGM-129 ACM","launched_from","B-52 Stratofortress","active","175"
"AGM-129 ACM","made_by","General Dynamics","active","185"
"AGM-129 ACM","made_by","Raytheon","active","185"
"AGM-129 ACM","operated_by","U.S. Air Force","active","180"
"AGM-129 ACM","originated_in","United States","active","185"
"AGM-130","has_type","Air-to-surface","active","225"
"AGM-130","has_type","guided missile","active","225"
"AGM-130","has_warhead","2,000 lb (907 kg) BLU-109 or MK 84","active","170"
"AGM-130","operated_by","USAF","active","180"
"AGM-130","originated_in","United States","active","185"
"AGM-130","used_in","Kosovo War","active","165"
"AGM-131 SRAM II","designed_by","Boeing","active","195"
"AGM-131 SRAM II","has_type","Nuclear air-to-surface missile","active","225"
"AGM-131 SRAM II","has_warhead","nuclear warhead","active","170"
"AGM-131 SRAM II","launched_from","Aircraft","active","175"
"AGM-131 SRAM II","originated_in","U.S.","active","185"
"AGM-136 Tacit Rainbow","designed_by","Boeing","active","195"
"AGM-136 Tacit Rainbow","designed_by","Northrop","active","195"
"AGM-136 Tacit Rainbow","designed_by","Texas Instruments","active","195"
"AGM-136 Tacit Rainbow","has_type","Anti-radiation missile","active","225"
"AGM-136 Tacit Rainbow","originated_in","United States","active","185"
"AGM-158 JASSM","designed_by","Lockheed Martin","active","195"
"AGM-158 JASSM","guided_by","GPS","active","180"
"AGM-158 JASSM","guided_by","IIR","active","180"
"AGM-158 JASSM","guided_by","INS","active","180"
"AGM-158 JASSM","guided_by","M-code AGM-158B-3","active","180"
"AGM-158 JASSM","has_type","Air-launched cruise missile","active","225"
"AGM-158 JASSM","has_warhead","WDU-42/B penetrator","active","170"
"AGM-158 JASSM","launched_from","B-1 Lancer","active","175"
"AGM-158 JASSM","launched_from","B-2 Spirit","active","175"
"AGM-158 JASSM","launched_from","B-52 Stratofortress","active","175"
"AGM-158 JASSM","launched_from","C-130","active","175"
"AGM-158 JASSM","launched_from","C-17","active","175"
"AGM-158 JASSM","launched_from","F-15E Strike Eagle","active","175"
"AGM-158 JASSM","launched_from","F-16 Fighting Falcon","active","175"
"AGM-158 JASSM","launched_from","Rapid Dragon","active","175"
"AGM-158 JASSM","made_by","Lockheed Martin Missiles and Fire Control","active","185"
"AGM-158 JASSM","operated_by","Finnish Air Force","active","180"
"AGM-158 JASSM","operated_by","Polish Air Force","active","180"
"AGM-158 JASSM","operated_by","Royal Australian Air Force","active","180"
"AGM-158 JASSM","operated_by","United States Air Force","active","180"
"AGM-158 JASSM","originated_in","United States","active","185"
"AGM-158 JASSM","used_in","Operation Rough Rider","active","165"
"AGM-158 JASSM","used_in","Syrian Civil War","active","165"
"AGM-158 JASSM","used_in","U.S. intervention in Syria","active","165"
"AGM-158 JASSM","used_in","Yemeni Civil War","active","165"
"AGM-158C LRASM","designed_by","DARPA","active","195"
"AGM-158C LRASM","guided_by","AI","active","180"
"AGM-158C LRASM","guided_by","EO","active","180"
"AGM-158C LRASM","guided_by","GPS","active","180"
"AGM-158C LRASM","guided_by","IIR","active","180"
"AGM-158C LRASM","guided_by","INS","active","180"
"AGM-158C LRASM","has_type","Anti-ship missile","active","225"
"AGM-158C LRASM","has_warhead","WDU-42/B HE blast fragmentation penetrator","active","170"
"AGM-158C LRASM","launched_from","B-1 Lancer","active","175"
"AGM-158C LRASM","launched_from","F-15E Strike Eagle","active","175"
"AGM-158C LRASM","launched_from","F-15EX Eagle II","active","175"
"AGM-158C LRASM","launched_from","F-35 Lightning II","active","175"
"AGM-158C LRASM","launched_from","HIMARS","active","175"
"AGM-158C LRASM","launched_from","Mk 41 VLS","active","175"
"AGM-158C LRASM","launched_from","P-8 Poseidon","active","175"
"AGM-158C LRASM","made_by","Lockheed Martin","active","185"
"AGM-158C LRASM","operated_by","Royal Australian Air Force","active","180"
"AGM-158C LRASM","operated_by","United States Air Force","active","180"
"AGM-158C LRASM","operated_by","United States Navy","active","180"
"AGM-158C LRASM","originated_in","United States","active","185"
"AGM-176 Griffin","guided_by","GPS","active","180"
"AGM-176 Griffin","guided_by","INS","active","180"
"AGM-176 Griffin","guided_by","Laser","active","180"
"AGM-176 Griffin","has_type","Air-to-surface missile","active","225"
"AGM-176 Griffin","has_type","Surface-to-surface missile","active","225"
"AGM-176 Griffin","has_warhead","Blast-fragmentation","active","170"
"AGM-176 Griffin","launched_from","Cyclone-class patrol ship","active","175"
"AGM-176 Griffin","launched_from","MQ-1","active","175"
"AGM-176 Griffin","launched_from","MQ-9","active","175"
"AGM-176 Griffin","launched_from","UAVs","active","175"
"AGM-176 Griffin","made_by","Raytheon","active","185"
"AGM-176 Griffin","operated_by","Central Intelligence Agency","active","180"
"AGM-176 Griffin","operated_by","United States Air Force","active","180"
"AGM-176 Griffin","operated_by","United States Marine Corps","active","180"
"AGM-176 Griffin","operated_by","United States Navy","active","180"
"AGM-176 Griffin","originated_in","United States","active","185"
"AGM-176 Griffin","used_in","Iraq War","active","165"
"AGM-176 Griffin","used_in","Syrian Civil War","active","165"
"AGM-176 Griffin","used_in","War in Afghanistan","active","165"
"AGM-28 Hound Dog","guided_by","Astro-inertial guidance","active","180"
"AGM-28 Hound Dog","has_type","Cruise missile","active","225"
"AGM-28 Hound Dog","has_warhead","W28 Class D nuclear warhead","active","170"
"AGM-28 Hound Dog","launched_from","B-52 Stratofortress","active","175"
"AGM-28 Hound Dog","made_by","North American Aviation","active","185"
"AGM-28 Hound Dog","originated_in","United States","active","185"
"AGM-45 Shrike","guided_by","Passive radar","active","180"
"AGM-45 Shrike","has_type","Air-to-surface","active","225"
"AGM-45 Shrike","has_type","anti-radiation missile","active","225"
"AGM-45 Shrike","launched_from","A-4 Skyhawk","active","175"
"AGM-45 Shrike","launched_from","A-6 Intruder","active","175"
"AGM-45 Shrike","launched_from","Avro Vulcan","active","175"
"AGM-45 Shrike","launched_from","F-100 Super Sabre","active","175"
"AGM-45 Shrike","launched_from","F-105 Thunderchief","active","175"
"AGM-45 Shrike","launched_from","F-16 Fighting Falcon","active","175"
"AGM-45 Shrike","launched_from","F-4 Phantom II","active","175"
"AGM-45 Shrike","launched_from","Kfir","active","175"
"AGM-45 Shrike","launched_from","Kilshon system","active","175"
"AGM-45 Shrike","launched_from","LTV A-7 Corsair II","active","175"
"AGM-45 Shrike","made_by","Texas Instruments and Sperry Rand/Univac","active","185"
